cell,donor,truth,pred
OA10_S0.28,OA10,EC,HTC
OA10_S0.29,OA10,EC,HTC
OA10_S0.30,OA10,EC,EC
OA10_S0.31,OA10,RegC,FC
OA10_S0.32,OA10,EC,EC
OA10_S1.1,OA10,EC,RegC
OA10_S1.2,OA10,HomC,HomC
OA10_S1.3,OA10,EC,RegC
OA10_S1.4,OA10,EC,EC
OA10_S1.6,OA10,RegC,HTC
OA10_S1.8,OA10,EC,EC
OA10_S1.9,OA10,HomC,HomC
OA10_S1.10,OA10,ProC,EC
OA10_S1.11,OA10,EC,EC
OA10_S1.12,OA10,HomC,HomC
OA10_S1.14,OA10,EC,EC
OA10_S1.15,OA10,HTC,HTC
OA10_S1.16,OA10,RegC,RegC
OA10_S1.17,OA10,RegC,HomC
OA10_S1.18,OA10,preHTC,preHTC
OA10_S1.19,OA10,EC,EC
OA10_S1.20,OA10,RegC,RegC
OA10_S1.21,OA10,EC,EC
OA10_S1.22,OA10,EC,EC
OA10_S1.23,OA10,preHTC,preHTC
OA10_S1.24,OA10,RegC,RegC
OA10_S1.25,OA10,EC,EC
OA10_S1.26,OA10,RegC,FC
OA10_S1.27,OA10,preHTC,preHTC
OA10_S1.28,OA10,HomC,HomC
OA10_S1.29,OA10,EC,HTC
OA10_S1.30,OA10,ProC,ProC
OA10_S1.31,OA10,EC,EC
OA10_S1.32,OA10,EC,EC
OA10_S2.1,OA10,EC,ProC
OA10_S2.2,OA10,HomC,HomC
OA10_S2.3,OA10,EC,EC
OA10_S2.4,OA10,RegC,FC
OA10_S2.5,OA10,preHTC,preHTC
OA10_S2.6,OA10,preHTC,preHTC
OA10_S2.7,OA10,EC,EC
OA10_S2.8,OA10,EC,EC
OA10_S2.9,OA10,EC,EC
OA10_S2.10,OA10,ProC,EC
OA10_S2.11,OA10,EC,HomC
OA10_S2.12,OA10,ProC,EC
OA10_S2.13,OA10,EC,ProC
OA10_S2.14,OA10,HomC,HomC
OA10_S2.15,OA10,EC,EC
OA10_S2.16,OA10,preHTC,preHTC
OA10_S2.17,OA10,EC,ProC
OA10_S2.18,OA10,preHTC,preHTC
OA10_S2.19,OA10,EC,EC
OA10_S2.20,OA10,ProC,ProC
OA10_S2.21,OA10,EC,EC
OA10_S2.22,OA10,HomC,HomC
OA10_S2.23,OA10,HomC,HomC
OA10_S2.25,OA10,EC,RegC
OA10_S2.26,OA10,EC,HTC
OA10_S2.27,OA10,ProC,RegC
OA10_S2.28,OA10,EC,HTC
OA10_S2.29,OA10,EC,EC
OA10_S2.30,OA10,HomC,HomC
OA10_S2.31,OA10,EC,EC
OA10_S2.32,OA10,ProC,HTC
OA10_S3.1,OA10,ProC,ProC
OA10_S3.2,OA10,preHTC,HomC
OA10_S3.3,OA10,ProC,ProC
OA10_S3.4,OA10,ProC,ProC
OA10_S3.5,OA10,preHTC,preHTC
OA10_S3.6,OA10,ProC,ProC
OA10_S3.7,OA10,ProC,ProC
OA10_S3.8,OA10,ProC,ProC
OA10_S3.9,OA10,ProC,ProC
OA10_S3.10,OA10,HTC,HTC
OA10_S3.11,OA10,ProC,ProC
OA10_S3.12,OA10,EC,EC
OA10_S3.13,OA10,ProC,ProC
OA10_S3.14,OA10,preHTC,preHTC
OA10_S3.15,OA10,ProC,ProC
OA10_S3.16,OA10,ProC,preHTC
OA10_S3.17,OA10,ProC,ProC
OA10_S3.18,OA10,RegC,HomC
OA10_S3.19,OA10,ProC,ProC
OA10_S3.21,OA10,HomC,HomC
OA10_S3.22,OA10,ProC,preHTC
OA10_S3.24,OA10,ProC,ProC
OA10_S3.25,OA10,ProC,ProC
OA10_S3.26,OA10,ProC,ProC
OA10_S3.27,OA10,ProC,EC
OA10_S3.28,OA10,RegC,RegC
OA10_S3.29,OA10,preHTC,preHTC
OA10_S3.30,OA10,ProC,ProC
OA10_S3.31,OA10,ProC,ProC
OA10_S3.32,OA10,ProC,ProC
OA10_S4.1,OA10,preHTC,preHTC
OA10_S4.2,OA10,preHTC,preHTC
OA10_S4.3,OA10,ProC,preHTC
OA10_S4.4,OA10,ProC,ProC
OA10_S4.5,OA10,ProC,ProC
OA10_S4.6,OA10,preHTC,preHTC
OA10_S4.7,OA10,preHTC,preHTC
OA10_S4.8,OA10,ProC,ProC
OA10_S4.9,OA10,ProC,ProC
OA10_S4.10,OA10,ProC,ProC
OA10_S4.11,OA10,ProC,ProC
OA10_S4.12,OA10,ProC,preHTC
OA10_S4.13,OA10,ProC,ProC
OA10_S4.14,OA10,ProC,ProC
OA10_S4.15,OA10,ProC,preHTC
OA10_S4.16,OA10,preHTC,HomC
OA10_S4.17,OA10,ProC,preHTC
OA10_S4.18,OA10,ProC,ProC
OA10_S4.19,OA10,ProC,ProC
OA10_S4.20,OA10,ProC,ProC
OA10_S4.21,OA10,ProC,preHTC
OA10_S4.22,OA10,ProC,ProC
OA10_S4.23,OA10,ProC,ProC
OA10_S4.24,OA10,ProC,ProC
OA10_S4.25,OA10,preHTC,preHTC
OA10_S4.26,OA10,ProC,ProC
OA10_S4.27,OA10,ProC,ProC
OA10_S4.28,OA10,ProC,ProC
OA10_S4.29,OA10,preHTC,preHTC
OA10_S4.30,OA10,preHTC,preHTC
OA10_S4.31,OA10,ProC,ProC
OA10_S4.32,OA10,ProC,ProC
OA2_S0.1,OA2,HomC,HomC
OA2_S0.2,OA2,RegC,preHTC
OA2_S0.3,OA2,HomC,HomC
OA2_S0.4,OA2,RegC,preHTC
OA2_S0.6,OA2,HTC,HTC
OA2_S0.7,OA2,HomC,HomC
OA2_S0.8,OA2,ProC,ProC
OA2_S0.9,OA2,HomC,FC
OA2_S0.10,OA2,HomC,HomC
OA2_S0.12,OA2,RegC,FC
OA2_S0.14,OA2,HomC,HomC
OA2_S0.15,OA2,ProC,RegC
OA2_S0.16,OA2,HomC,HomC
OA2_S0.17,OA2,RegC,HTC
OA2_S0.18,OA2,HomC,HomC
OA2_S0.19,OA2,HomC,HomC
OA2_S0.20,OA2,EC,EC
OA2_S0.21,OA2,ProC,ProC
OA2_S0.22,OA2,HTC,HTC
OA2_S0.24,OA2,RegC,FC
OA2_S0.25,OA2,HomC,HomC
OA2_S0.26,OA2,HomC,HomC
OA2_S0.28,OA2,HomC,HomC
OA2_S0.30,OA2,RegC,HomC
OA2_S0.31,OA2,HomC,HomC
OA2_S0.32,OA2,RegC,HTC
OA2_S1.1,OA2,RegC,ProC
OA2_S1.2,OA2,ProC,ProC
OA2_S1.3,OA2,ProC,ProC
OA2_S1.4,OA2,ProC,ProC
OA2_S1.6,OA2,HTC,HTC
OA2_S1.7,OA2,HomC,HomC
OA2_S1.8,OA2,RegC,RegC
OA2_S1.9,OA2,RegC,RegC
OA2_S1.10,OA2,HomC,HTC
OA2_S1.11,OA2,HomC,HomC
OA2_S1.12,OA2,HomC,HomC
OA2_S1.13,OA2,EC,EC
OA2_S1.14,OA2,ProC,ProC
OA2_S1.15,OA2,ProC,EC
OA2_S1.16,OA2,HomC,HomC
OA2_S1.17,OA2,RegC,RegC
OA2_S1.18,OA2,ProC,ProC
OA2_S1.19,OA2,HomC,HomC
OA2_S1.20,OA2,RegC,HomC
OA2_S1.21,OA2,RegC,RegC
OA2_S1.22,OA2,ProC,EC
OA2_S1.23,OA2,ProC,ProC
OA2_S1.24,OA2,HomC,preHTC
OA2_S1.25,OA2,ProC,EC
OA2_S1.26,OA2,HomC,HomC
OA2_S1.27,OA2,HTC,HTC
OA2_S1.29,OA2,RegC,HomC
OA2_S1.30,OA2,HomC,HomC
OA2_S1.31,OA2,ProC,HTC
OA2_S1.32,OA2,ProC,EC
OA2_S2.2,OA2,ProC,ProC
OA2_S2.3,OA2,ProC,FC
OA2_S2.4,OA2,ProC,ProC
OA2_S2.5,OA2,ProC,preHTC
OA2_S2.6,OA2,preHTC,ProC
OA2_S2.7,OA2,ProC,ProC
OA2_S2.8,OA2,ProC,ProC
OA2_S2.9,OA2,ProC,ProC
OA2_S2.10,OA2,preHTC,FC
OA2_S2.11,OA2,HomC,HomC
OA2_S2.13,OA2,ProC,preHTC
OA2_S2.14,OA2,ProC,ProC
OA2_S2.15,OA2,ProC,preHTC
OA2_S2.16,OA2,HomC,HomC
OA2_S2.17,OA2,ProC,ProC
OA2_S2.18,OA2,HomC,FC
OA2_S2.19,OA2,ProC,ProC
OA2_S2.20,OA2,ProC,ProC
OA2_S2.21,OA2,ProC,ProC
OA2_S2.22,OA2,ProC,ProC
OA2_S2.23,OA2,HomC,HomC
OA2_S2.24,OA2,ProC,EC
OA2_S2.25,OA2,HomC,FC
OA2_S2.26,OA2,ProC,preHTC
OA2_S2.27,OA2,preHTC,HTC
OA2_S2.28,OA2,ProC,preHTC
OA2_S2.29,OA2,ProC,ProC
OA2_S2.30,OA2,ProC,EC
OA2_S2.31,OA2,ProC,ProC
OA2_S3.1,OA2,HomC,HomC
OA2_S3.3,OA2,preHTC,preHTC
OA2_S3.4,OA2,ProC,EC
OA2_S3.5,OA2,ProC,ProC
OA2_S3.6,OA2,ProC,ProC
OA2_S3.7,OA2,preHTC,preHTC
OA2_S3.8,OA2,ProC,ProC
OA2_S3.9,OA2,ProC,RegC
OA2_S3.10,OA2,preHTC,preHTC
OA2_S3.11,OA2,ProC,HomC
OA2_S3.12,OA2,RegC,preHTC
OA2_S3.13,OA2,HomC,HomC
OA2_S3.14,OA2,preHTC,preHTC
OA2_S3.15,OA2,ProC,ProC
OA2_S3.16,OA2,preHTC,preHTC
OA2_S3.17,OA2,ProC,ProC
OA2_S3.19,OA2,preHTC,preHTC
OA2_S3.20,OA2,preHTC,FC
OA2_S3.21,OA2,HomC,preHTC
OA2_S3.22,OA2,ProC,ProC
OA2_S3.23,OA2,RegC,RegC
OA2_S3.24,OA2,ProC,FC
OA2_S3.25,OA2,preHTC,preHTC
OA2_S3.26,OA2,ProC,FC
OA2_S3.27,OA2,HomC,HomC
OA2_S3.28,OA2,ProC,ProC
OA2_S3.29,OA2,HomC,HomC
OA2_S3.30,OA2,HTC,FC
OA2_S3.31,OA2,preHTC,preHTC
OA2_S3.32,OA2,ProC,ProC
OA2_S4.2,OA2,ProC,ProC
OA2_S4.3,OA2,ProC,EC
OA2_S4.4,OA2,RegC,FC
OA2_S4.5,OA2,ProC,ProC
OA2_S4.6,OA2,HomC,preHTC
OA2_S4.7,OA2,RegC,EC
OA2_S4.8,OA2,ProC,ProC
OA2_S4.9,OA2,ProC,ProC
OA2_S4.10,OA2,ProC,ProC
OA2_S4.11,OA2,RegC,HomC
OA2_S4.13,OA2,ProC,ProC
OA2_S4.14,OA2,ProC,ProC
OA2_S4.15,OA2,preHTC,preHTC
OA2_S4.16,OA2,ProC,ProC
OA2_S4.17,OA2,ProC,ProC
OA2_S4.18,OA2,preHTC,preHTC
OA2_S4.19,OA2,preHTC,preHTC
OA2_S4.20,OA2,HomC,preHTC
OA2_S4.21,OA2,ProC,EC
OA2_S4.22,OA2,ProC,ProC
OA2_S4.23,OA2,HTC,FC
OA2_S4.24,OA2,EC,EC
OA2_S4.25,OA2,preHTC,ProC
OA2_S4.26,OA2,ProC,preHTC
OA2_S4.27,OA2,ProC,ProC
OA2_S4.28,OA2,ProC,EC
OA2_S4.29,OA2,EC,EC
OA2_S4.30,OA2,EC,EC
OA2_S4.31,OA2,ProC,ProC
OA2_S4.32,OA2,EC,EC
OA3_S0.1,OA3,EC,EC
OA3_S0.2,OA3,HomC,HTC
OA3_S0.3,OA3,HomC,HomC
OA3_S0.4,OA3,EC,ProC
OA3_S0.5,OA3,EC,EC
OA3_S0.6,OA3,EC,EC
OA3_S0.7,OA3,HomC,HomC
OA3_S0.8,OA3,EC,EC
OA3_S0.9,OA3,HomC,HomC
OA3_S0.10,OA3,EC,EC
OA3_S0.11,OA3,EC,EC
OA3_S0.12,OA3,HomC,HomC
OA3_S0.13,OA3,EC,EC
OA3_S0.14,OA3,EC,EC
OA3_S0.16,OA3,EC,EC
OA3_S0.17,OA3,EC,EC
OA3_S0.18,OA3,RegC,RegC
OA3_S0.19,OA3,HomC,HomC
OA3_S0.20,OA3,EC,EC
OA3_S0.21,OA3,EC,EC
OA3_S0.22,OA3,EC,EC
OA3_S0.23,OA3,EC,EC
OA3_S0.24,OA3,EC,EC
OA3_S0.25,OA3,EC,EC
OA3_S0.26,OA3,HomC,HomC
OA3_S0.27,OA3,EC,EC
OA3_S0.28,OA3,EC,ProC
OA3_S0.29,OA3,HomC,HomC
OA3_S0.30,OA3,EC,EC
OA3_S0.31,OA3,EC,ProC
OA3_S0.32,OA3,EC,EC
OA3_S1.1,OA3,HTC,HTC
OA3_S1.2,OA3,preHTC,RegC
OA3_S1.3,OA3,HomC,HomC
OA3_S1.4,OA3,EC,EC
OA3_S1.5,OA3,HTC,RegC
OA3_S1.6,OA3,EC,ProC
OA3_S1.7,OA3,EC,ProC
OA3_S1.8,OA3,EC,ProC
OA3_S1.9,OA3,EC,ProC
OA3_S1.10,OA3,RegC,ProC
OA3_S1.11,OA3,EC,EC
OA3_S1.12,OA3,EC,EC
OA3_S1.13,OA3,RegC,ProC
OA3_S1.14,OA3,EC,HTC
OA3_S1.15,OA3,HomC,HomC
OA3_S1.16,OA3,HTC,FC
OA3_S1.17,OA3,HTC,preHTC
OA3_S1.18,OA3,EC,EC
OA3_S1.19,OA3,EC,EC
OA3_S1.20,OA3,EC,EC
OA3_S1.21,OA3,HomC,HomC
OA3_S1.22,OA3,EC,EC
OA3_S1.23,OA3,EC,EC
OA3_S1.24,OA3,RegC,RegC
OA3_S1.25,OA3,EC,HomC
OA3_S1.26,OA3,EC,EC
OA3_S1.27,OA3,EC,ProC
OA3_S1.28,OA3,RegC,ProC
OA3_S1.29,OA3,EC,EC
OA3_S1.30,OA3,HomC,HomC
OA3_S1.31,OA3,preHTC,preHTC
OA3_S1.32,OA3,EC,EC
OA3_S2.1,OA3,preHTC,preHTC
OA3_S2.2,OA3,EC,ProC
OA3_S2.3,OA3,EC,EC
OA3_S2.4,OA3,HomC,HomC
OA3_S2.5,OA3,RegC,RegC
OA3_S2.6,OA3,EC,ProC
OA3_S2.7,OA3,EC,ProC
OA3_S2.8,OA3,EC,ProC
OA3_S2.9,OA3,EC,EC
OA3_S2.10,OA3,EC,EC
OA3_S2.11,OA3,EC,EC
OA3_S2.12,OA3,EC,preHTC
OA3_S2.13,OA3,EC,ProC
OA3_S2.14,OA3,EC,ProC
OA3_S2.15,OA3,EC,RegC
OA3_S2.16,OA3,RegC,RegC
OA3_S2.17,OA3,EC,ProC
OA3_S2.18,OA3,EC,ProC
OA3_S2.19,OA3,HomC,HomC
OA3_S2.20,OA3,RegC,preHTC
OA3_S2.21,OA3,EC,EC
OA3_S2.22,OA3,HomC,RegC
OA3_S2.23,OA3,HomC,HomC
OA3_S2.24,OA3,preHTC,preHTC
OA3_S2.25,OA3,preHTC,preHTC
OA3_S2.26,OA3,EC,EC
OA3_S2.27,OA3,EC,EC
OA3_S2.28,OA3,EC,ProC
OA3_S2.29,OA3,preHTC,preHTC
OA3_S2.30,OA3,EC,EC
OA3_S2.31,OA3,HomC,HomC
OA3_S2.32,OA3,preHTC,preHTC
OA3_S3.1,OA3,HomC,HomC
OA3_S3.2,OA3,HomC,HomC
OA3_S3.3,OA3,EC,ProC
OA3_S3.4,OA3,preHTC,RegC
OA3_S3.5,OA3,EC,EC
OA3_S3.6,OA3,preHTC,preHTC
OA3_S3.7,OA3,preHTC,preHTC
OA3_S3.8,OA3,EC,ProC
OA3_S3.9,OA3,preHTC,preHTC
OA3_S3.10,OA3,preHTC,preHTC
OA3_S3.11,OA3,preHTC,ProC
OA3_S3.12,OA3,preHTC,preHTC
OA3_S3.14,OA3,preHTC,preHTC
OA3_S3.15,OA3,HomC,HomC
OA3_S3.16,OA3,preHTC,ProC
OA3_S3.17,OA3,preHTC,preHTC
OA3_S3.18,OA3,preHTC,preHTC
OA3_S3.19,OA3,preHTC,ProC
OA3_S3.21,OA3,preHTC,preHTC
OA3_S3.22,OA3,preHTC,preHTC
OA3_S3.24,OA3,preHTC,ProC
OA3_S3.25,OA3,EC,ProC
OA3_S3.26,OA3,preHTC,ProC
OA3_S3.27,OA3,preHTC,preHTC
OA3_S3.28,OA3,preHTC,preHTC
OA3_S3.29,OA3,preHTC,preHTC
OA3_S3.30,OA3,EC,ProC
OA3_S3.31,OA3,preHTC,HTC
OA3_S3.32,OA3,EC,ProC
OA3_S4.1,OA3,FC,FC
OA3_S4.3,OA3,FC,preHTC
OA3_S4.4,OA3,FC,FC
OA3_S4.5,OA3,FC,FC
OA3_S4.6,OA3,FC,FC
OA3_S4.7,OA3,FC,FC
OA3_S4.8,OA3,FC,FC
OA3_S4.9,OA3,FC,FC
OA3_S4.10,OA3,FC,FC
OA3_S4.11,OA3,FC,FC
OA3_S4.12,OA3,FC,FC
OA3_S4.13,OA3,FC,FC
OA3_S4.14,OA3,FC,FC
OA3_S4.15,OA3,FC,HTC
OA3_S4.16,OA3,FC,FC
OA3_S4.17,OA3,FC,FC
OA3_S4.18,OA3,FC,FC
OA3_S4.19,OA3,FC,FC
OA3_S4.20,OA3,FC,FC
OA3_S4.21,OA3,FC,FC
OA3_S4.22,OA3,FC,RegC
OA3_S4.23,OA3,FC,HTC
OA3_S4.24,OA3,FC,HomC
OA3_S4.25,OA3,FC,FC
OA3_S4.26,OA3,FC,FC
OA3_S4.27,OA3,FC,HomC
OA3_S4.28,OA3,FC,FC
OA3_S4.29,OA3,FC,FC
OA3_S4.30,OA3,FC,FC
OA3_S4.31,OA3,FC,FC
OA3_S4.32,OA3,FC,FC
OA4_S0.1,OA4,EC,ProC
OA4_S0.2,OA4,ProC,ProC
OA4_S0.3,OA4,EC,EC
OA4_S0.4,OA4,EC,EC
OA4_S0.5,OA4,EC,EC
OA4_S0.6,OA4,EC,EC
OA4_S0.7,OA4,EC,EC
OA4_S0.8,OA4,EC,ProC
OA4_S0.9,OA4,EC,HTC
OA4_S0.10,OA4,EC,EC
OA4_S0.11,OA4,EC,EC
OA4_S0.12,OA4,EC,EC
OA4_S0.13,OA4,EC,EC
OA4_S0.14,OA4,HomC,HomC
OA4_S0.15,OA4,EC,EC
OA4_S0.16,OA4,EC,EC
OA4_S0.17,OA4,ProC,ProC
OA4_S0.18,OA4,EC,HomC
OA4_S0.19,OA4,EC,EC
OA4_S0.20,OA4,EC,EC
OA4_S0.21,OA4,HomC,HomC
OA4_S0.22,OA4,EC,EC
OA4_S0.24,OA4,EC,EC
OA4_S0.26,OA4,EC,EC
OA4_S0.27,OA4,EC,HTC
OA4_S0.28,OA4,ProC,EC
OA4_S0.29,OA4,EC,ProC
OA4_S0.30,OA4,EC,EC
OA4_S0.31,OA4,EC,EC
OA4_S0.32,OA4,EC,EC
OA4_S1.1,OA4,ProC,ProC
OA4_S1.2,OA4,RegC,EC
OA4_S1.3,OA4,RegC,ProC
OA4_S1.4,OA4,EC,ProC
OA4_S1.5,OA4,EC,EC
OA4_S1.6,OA4,ProC,RegC
OA4_S1.7,OA4,RegC,HTC
OA4_S1.8,OA4,RegC,FC
OA4_S1.9,OA4,HomC,HomC
OA4_S1.10,OA4,EC,HomC
OA4_S1.11,OA4,EC,EC
OA4_S1.12,OA4,RegC,HomC
OA4_S1.13,OA4,EC,ProC
OA4_S1.14,OA4,EC,EC
OA4_S1.15,OA4,RegC,HomC
OA4_S1.16,OA4,RegC,RegC
OA4_S1.17,OA4,EC,EC
OA4_S1.18,OA4,RegC,HomC
OA4_S1.19,OA4,ProC,RegC
OA4_S1.20,OA4,HomC,HomC
OA4_S1.21,OA4,RegC,RegC
OA4_S1.22,OA4,EC,RegC
OA4_S1.23,OA4,EC,ProC
OA4_S1.24,OA4,EC,EC
OA4_S1.25,OA4,ProC,ProC
OA4_S1.26,OA4,RegC,HomC
OA4_S1.27,OA4,RegC,HomC
OA4_S1.28,OA4,EC,EC
OA4_S1.29,OA4,ProC,ProC
OA4_S1.30,OA4,ProC,ProC
OA4_S1.31,OA4,RegC,RegC
OA4_S1.32,OA4,ProC,ProC
OA4_S2.1,OA4,ProC,ProC
OA4_S2.2,OA4,preHTC,preHTC
OA4_S2.3,OA4,ProC,ProC
OA4_S2.4,OA4,EC,EC
OA4_S2.5,OA4,EC,ProC
OA4_S2.6,OA4,EC,ProC
OA4_S2.7,OA4,preHTC,preHTC
OA4_S2.8,OA4,EC,ProC
OA4_S2.9,OA4,ProC,EC
OA4_S2.10,OA4,preHTC,ProC
OA4_S2.11,OA4,ProC,ProC
OA4_S2.12,OA4,ProC,EC
OA4_S2.13,OA4,EC,EC
OA4_S2.14,OA4,preHTC,preHTC
OA4_S2.15,OA4,ProC,ProC
OA4_S2.16,OA4,ProC,preHTC
OA4_S2.17,OA4,ProC,ProC
OA4_S2.18,OA4,ProC,ProC
OA4_S2.19,OA4,preHTC,preHTC
OA4_S2.20,OA4,ProC,ProC
OA4_S2.21,OA4,EC,EC
OA4_S2.22,OA4,EC,ProC
OA4_S2.23,OA4,EC,EC
OA4_S2.24,OA4,ProC,FC
OA4_S2.25,OA4,ProC,RegC
OA4_S2.26,OA4,ProC,ProC
OA4_S2.27,OA4,ProC,EC
OA4_S2.28,OA4,EC,FC
OA4_S2.29,OA4,ProC,ProC
OA4_S2.30,OA4,HomC,HomC
OA4_S2.31,OA4,EC,ProC
OA4_S2.32,OA4,HTC,FC
OA4_S3.1,OA4,preHTC,preHTC
OA4_S3.2,OA4,preHTC,preHTC
OA4_S3.4,OA4,preHTC,preHTC
OA4_S3.5,OA4,preHTC,preHTC
OA4_S3.6,OA4,preHTC,FC
OA4_S3.7,OA4,preHTC,HomC
OA4_S3.8,OA4,preHTC,ProC
OA4_S3.9,OA4,preHTC,preHTC
OA4_S3.10,OA4,preHTC,preHTC
OA4_S3.11,OA4,preHTC,preHTC
OA4_S3.12,OA4,HTC,HTC
OA4_S3.13,OA4,preHTC,preHTC
OA4_S3.14,OA4,preHTC,ProC
OA4_S3.15,OA4,preHTC,preHTC
OA4_S3.17,OA4,preHTC,FC
OA4_S3.18,OA4,preHTC,FC
OA4_S3.19,OA4,preHTC,preHTC
OA4_S3.20,OA4,preHTC,preHTC
OA4_S3.21,OA4,preHTC,HomC
OA4_S3.22,OA4,preHTC,FC
OA4_S3.24,OA4,preHTC,ProC
